Food Item,Calories per 100g,Carbs per 100g (g),Total Fat per 100g (g),Saturated Fat per 100g (g),Protein per 100g (g),Fiber per 100g (g),Cholesterol per 100g (mg),Sodium per 100g (mg),Sugar per 100g (g),Potassium per 100g (mg),Magnesium per 100g (mg),Phosphorus per 100g (mg),Vitamin C per 100g (mg),Vitamin A per 100g (IU),Calcium per 100g (mg),Iron per 100g (mg),Zinc per 100g (mg),Vitamin E per 100g (mg),Vitamin K per 100g (mcg)
Apple,Low,Low,Low,Low,Low,High,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low
Apricot,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,High,Low,Low,High,Medium,Low,Low,Low,Low,Low
Avocado,High,Low,High,Medium,Low,High,Low,Low,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Medium
Banana,Low,High,Low,Low,Low,Medium,Low,Low,High,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low
Black Chokeberry,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,Low,Low,Low,Low,Low
Blackberries,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,Medium,Low,Low,Low,Low,Low,Medium
Blueberries,Low,Low,Low,Low,Low,High,Low,Low,Low,Medium,Low,Low,High,Low,Low,Low,Low,Low,Medium
Cantaloupe,Low,High,Low,Low,Low,High,Low,Low,Medium,High,Low,Low,Medium,High,High,Low,Low,Low,Low
Cherry,Low,Medium,Low,Low,Low,High,Low,Low,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low
Cranberry,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,Low,Low,Low,Low,Low
Date Palm,High,High,Medium,Low,Low,High,Low,Low,High,High,High,Medium,Low,Low,Medium,Low,Low,Low,Low
Durian,High,High,High,High,Medium,Medium,Low,Low,High,High,High,High,Medium,Low,Medium,Medium,Medium,Medium,Low
Elderberry,Low,Low,Low,Low,Low,High,Low,Low,Low,Medium,Low,Low,High,Low,High,Low,Low,Low,Low
Golden berries,Low,High,Low,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,Medium,Low,Low,Low,Low
Gooseberries,Low,High,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,Low,Medium
Grapefruit,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,High,Low,Low,Low,Low
Grapes,Low,High,Low,Low,Low,High,Low,Low,High,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low
Guava,Low,High,Low,Low,Low,High,Low,Low,High,High,Medium,Low,High,High,Medium,Low,Low,Low,Low
Jackfruit,Low,High,Low,Low,Low,High,Low,Low,High,High,Low,Low,Medium,Low,Medium,Low,Low,Low,Low
Jujube,Low,High,Low,Low,Low,High,Low,Low,High,High,Low,Low,High,Low,High,Low,Low,Low,Low
Juniper Berries,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,Low,Low,Low,Low,High
Kiwi,Low,High,Low,Low,Low,High,Low,Low,Medium,High,Medium,Medium,High,Medium,Low,Low,Low,Medium,High
Longan Fruit,Low,High,Low,Low,Low,Low,Low,Low,High,High,Low,Low,High,Low,Low,Low,Low,Low,Low
Lychee,Low,High,Low,Low,Low,High,Low,Low,High,High,Low,Low,High,Low,Low,Low,Low,Low,Low
Mango,Low,High,Low,Low,Low,Low,Low,Low,High,High,Low,Low,High,Low,Low,Low,Low,Low,Low
Melon,Low,High,Low,Low,Low,High,Low,Low,High,High,Low,Low,Medium,Medium,Low,Low,Low,Low,Low
Mulberry,Low,High,Low,Low,Low,High,Low,Low,High,High,Medium,Medium,High,Low,Low,Low,Low,Low,High
Nectarines,Low,High,Low,Low,Low,High,Low,Low,Medium,High,Low,Low,Medium,Medium,Low,Low,Low,Low,Low
Orange,Low,High,Low,Low,Low,High,Low,Low,High,High,Low,Low,High,Low,Low,Low,Low,Low,Low
Papaya,Low,High,Low,Low,Low,Medium,Low,Low,High,High,Low,Low,High,Low,Low,Low,Low,Low,Low
Plum,Low,Low,Low,Low,Low,Medium,Low,Low,Low,Medium,Low,Low,High,Medium,Low,Low,Low,Low,Medium
Pomegranate,Low,Medium,Low,Low,Low,High,Low,Low,Medium,High,Medium,Medium,High,Low,Low,Low,Medium,High,High
Pomelo,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Medium,Medium,High,Low,Low,Low,Low,Low,Medium
Rambutan,Low,High,Low,Low,Low,Medium,Low,Low,High,Medium,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium
Raspberry,Low,Medium,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Medium,Low,Low,Low,Low,High
Redberries,Low,Medium,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Medium,Low,Low,Low,Low,High
Rhubarb,Low,Medium,Low,Low,Low,High,Low,Low,Low,High,Medium,Medium,High,Medium,Low,Low,Low,Low,High
Starfruit,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,Low,Low,Low,Low,Medium
Strawberry,Low,Medium,Low,Low,Low,High,Low,Low,Low,High,Medium,Low,High,Medium,Low,Low,Low,Low,High
Tangerine,Low,Medium,Low,Low,Low,Medium,Low,Low,High,Medium,Low,Low,High,Low,Low,Low,Low,Low,Medium
Ugli Fruit,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,Low,Low,Low,Low,Medium
Watermelon,Low,Low,Low,Low,Low,High,Low,Low,Low,High,Low,Low,High,Low,Low,Low,Low,Low,Low
