food items,Average Serving Weight,Calories,Carbs,total Fat,Saturated fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C per 100g (mg),Vitamin A per 100g (IU),Vitamin E per 100g (mg),Vitamin K per 100g (mcg),Calcium per 100g (mg),Iron per 100g (mg),Zinc per 100g (mg)
Apple,1 medium (182g),52,14,0.2,0.1,0.3,2.4,0,0,10,107,5,11,4.6,6,0.18,2.2,6,0.1,0.05
Apricot,"1 fruit, 2-1/2"" diameter (55g)",48,11,0.4,0,1.4,2,0,1,9,259,10,23,10,1926,0.89,3.1,13,0.39,0.2
Avocado,1/5 medium (30g),160,9,2,0.3,2,2,0,0,0.2,250,29,52,10,7,2.07,21,12,0.6,0.6
Banana,1 medium (118g),89,23,0.3,0.1,1.1,2.6,0,1,12,358,27,22,8.7,1,0.1,0.5,5,0.3,0.15
Black Chokeberry,1 cup (143g),50,12,0.5,0,1,3,0,1,3,757,29,30,29.3,880,1.7,758.8,54,1.6,0.76
Blackberries,1 cup (144g),62,14,0.7,0,2,8,0,1,7,233,20,22,21,214,0.87,19.8,29,0.62,0.53
Blueberries,1 cup (148g),57,14,0.7,0,0.7,2.4,0,1,10,114,7,13,9.7,54,0.57,19.3,6,0.3,0.16
Cantaloupe,1/4 medium (134g),48,12,0.3,0.1,0.8,1.6,0,24,11,267,15,17,36.7,3382,0.05,2.5,9,0.2,0.14
Cherry,21 cherries (140g),50,12,0.3,0,1,2,0,0,10,173,9,17,7,64,0.07,2.1,13,0.3,0.1
Cranberry,1 cup (100g),46,12,0.1,0,0.4,4.6,0,2,4,85,6,13,13.3,60,1.2,5,8,0.25,0.1
Date Palm,1 date (24g),66,18,0.2,0,0.8,1.6,0,0,16,167,14,62,2.2,149,0.05,2.7,20,0.9,0.15
Durian,"1 cup, chopped (243g)",357,65,13,4.4,3.6,9.2,0,2,27,1059,91,113,19.7,44,1.48,2.8,6,1.47,0.28
Elderberry,1 cup (145g),73,18,0.5,0,0.7,7,0,6,10,406,18,30,36,870,1,7,38,0.5,0.11
Golden berries,1 cup (140g),74,16,0.7,0,2.5,5,0,2,11,567,30,51,11,2500,0.73,30,25,1.3,1
Gooseberries,1 cup (150g),66,15,0.6,0,1.5,6,0,2,8,198,17,29,27.7,290,0.19,27.7,33,0.31,0.29
Grapefruit,1/2 medium (154g),42,11,1.1,0,0.8,2,0,0,9,166,11,18,31.2,115,0.13,0.1,9,0.1,0.07
Grapes,1 cup (92g),69,18,0.2,0.1,0.7,0.8,0,1,15,176,7,20,3.2,3,0.19,14.6,10,0.3,0.11
Guava,"1 fruit, 2-1/4"" dia (55g)",38,9,0.6,0.2,1.4,3,0,2,5,259,14,17,228.3,624,0.73,2.6,18,0.26,0.23
Jackfruit,1 cup (165g),94,24,0.6,0.3,1.5,2.6,0,3,19,448,36,61,13.8,110,0.34,3.3,34,0.23,0.42
Jujube,1 oz (28.35g),79,20,0.2,0,1.2,6.5,0,3,13,250,10,23,69,0,0.11,0.5,23,0.5,0.1
Juniper Berries,1 tbsp (6g),3,1,0.1,0,0.1,0.6,0,0,0,10,2,4,23,670,2.3,50,87,1.9,0.8
Kiwi,1 medium (76g),61,15,2.6,0.4,0.9,2.1,0,3,9,237,12,23,92.7,87,1.46,40.3,3,0.3,0.1
Longan Fruit,1 cup (190g),60,15,0.1,0,1.3,1.1,0,1,14,266,10,25,84.9,0,0.1,0,1,0.1,0.1
Lychee,1 cup (190g),66,17,0.4,0.1,1.6,1.3,0,1,15,171,8,31,71.5,0,0.1,0,5,0.3,0.1
Mango,"1 cup, sliced (165g)",99,25,0.4,0.1,0.8,2.6,0,1,23,277,18,20,36.4,108,0.9,4.2,11,0.2,0.08
